Player ID,Player Name,Team
767,Jack Colback,Nottingham Forest
768,Vurnon Anita,Newcastle United
769,Jonjo Shelvey,Nottingham Forest
770,Ayoze Pérez,Real Betis
771,Georginio Wijnaldum,Roma
772,Moussa Sissoko,Nantes
773,Aleksandar Mitrovic,Fulham
774,Siem de Jong,Newcastle United
775,Andros Townsend,Everton
776,Seydou Doumbia,Girona
777,Emmanuel Rivière,Crotone
778,Henri Saivet,Newcastle United
779,Jamie Sterry,Newcastle United
780,Karl Darlow,Newcastle United
781,Jeremain Lens,Sunderland
782,Ben Chilwell,Chelsea
783,Nathan Dyer,Swansea
784,Andy King,Swansea
785,John Ruddy,Wolverhampton Wanderers
786,Ivo Pinto,Norwich
